"id","description","document_suggestions__001","document_suggestions__002","document_suggestions__003","validation"
"1","Property dispute between neighbors","Property deeds","Official letters","Legal notices","These documents are essential to prove your case strong."
"2","Fraud case involving bank fraud","Bank statements","Emails","Affidavits","These documents are essential to prove your case strong."
"3","Personal injury from a vehicle accident","Medical reports","Witness statements","Police reports","These documents are essential to prove your case strong."
"4","Employer breach of employment contract","Contracts","Official letters","Emails","These documents are essential to prove your case strong."
"5","Dispute regarding a rental agreement","Rental agreements","Witness statements","Emails","These documents are essential to prove your case strong."
"6","Accusation of theft from workplace","Police reports","Video evidence","Witness statements","These documents are essential to prove your case strong."
"7","Harassment claim at workplace","Emails","Witness statements","Official letters","These documents are essential to prove your case strong."
"8","Insurance claim after house fire","Insurance policies","Photographs","Police reports","These documents are essential to prove your case strong."
"9","Injury claim due to unsafe premises","Medical reports","Witness statements","Photographs","These documents are essential to prove your case strong."
"10","Defamation accusation on social media","Social media posts","Emails","Affidavits","These documents are essential to prove your case strong."
"11","Claim for unpaid salary by employer","Bank statements","Contracts","Official letters","These documents are essential to prove your case strong."
"12","Medical malpractice lawsuit","Medical reports","Witness statements","Expert witness reports","These documents are essential to prove your case strong."
"13","Dispute over inheritance rights","Property deeds","Legal notices","Official letters","These documents are essential to prove your case strong."
"14","Alleged breach of contract in partnership","Contracts","Emails","Witness statements","These documents are essential to prove your case strong."
"15","Domestic violence complaint","Medical reports","Witness statements","Police reports","These documents are essential to prove your case strong."
"16","Dispute over land encroachment","Property deeds","Witness statements","Official letters","These documents are essential to prove your case strong."
"17","Allegation of cyberbullying","Social media posts","Emails","Witness statements","These documents are essential to prove your case strong."
"18","Claim for unpaid rental income","Rental agreements","Bank statements","Legal notices","These documents are essential to prove your case strong."
"19","Dispute over medical insurance claim","Insurance policies","Medical reports","Official letters","These documents are essential to prove your case strong."
"20","Injury at construction site","Medical reports","Witness statements","Photographs","These documents are essential to prove your case strong."
"21","Trademark infringement by competitor","Trademark registration","Business contracts","Emails","These documents are essential to prove your case strong."
"22","Accusation of environmental law violation","Environmental reports","Expert witness reports","Official letters","These documents are essential to prove your case strong."
"23","Claim for damages due to faulty product","Purchase receipts","Witness statements","Photographs","These documents are essential to prove your case strong."
"24","Allegation of workplace discrimination","Emails","Official letters","Witness statements","These documents are essential to prove your case strong."
"25","Illegal eviction from rented property","Rental agreements","Legal notices","Witness statements","These documents are essential to prove your case strong."
"26","Defamation through media publication","Publication copies","Affidavits","Witness statements","These documents are essential to prove your case strong."
"27","Claims of unpaid overtime","Work schedules","Employment contracts","Emails","These documents are essential to prove your case strong."
"28","Case involving tenant property damage","Rental agreements","Photographs","Witness statements","These documents are essential to prove your case strong."
"29","Breach of non-disclosure agreement","Non-disclosure agreements","Emails","Official letters","These documents are essential to prove your case strong."
"30","Violation of personal data privacy","Data privacy policies","Official letters","Witness statements","These documents are essential to prove your case strong."
"31","Accident injury due to unsafe work environment","Medical reports","Photographs","Witness statements","These documents are essential to prove your case strong."
"32","Forgery of important business documents","Forged documents","Witness statements","Emails","These documents are essential to prove your case strong."
"33","Insurance claim dispute for vehicle damage","Insurance policies","Photographs","Police reports","These documents are essential to prove your case strong."
"34","False allegations of bribery","Emails","Witness statements","Affidavits","These documents are essential to prove your case strong."
"35","Dispute over land lease terms","Lease agreements","Official letters","Witness statements","These documents are essential to prove your case strong."
"36","Allegation of academic misconduct","Emails","Official letters","Witness statements","These documents are essential to prove your case strong."
"37","Claim against employer for wrongful termination","Employment contract","Official letters","Witness statements","These documents are essential to prove your case strong."
"38","Lawsuit for infringement of intellectual property","Intellectual property documents","Official letters","Emails","These documents are essential to prove your case strong."
"39","Dispute over terms of divorce settlement","Marriage certificate","Bank statements","Property deeds","These documents are essential to prove your case strong."
"40","Injury caused by defective product","Medical reports","Product purchase receipts","Photographs","These documents are essential to prove your case strong."
"41","Dispute in child custody arrangement","Custody agreement","Medical reports","Witness statements","These documents are essential to prove your case strong."
"42","Claim of workplace harassment","Emails","Witness statements","Official letters","These documents are essential to prove your case strong."
"43","Accusation of defamation via internet posts","Social media posts","Emails","Affidavits","These documents are essential to prove your case strong."
"44","Breach of agreement between business partners","Business contracts","Emails","Official letters","These documents are essential to prove your case strong."
"45","Claim against tenant for property damage","Rental agreement","Photographs","Witness statements","These documents are essential to prove your case strong."
"46","Dispute over property inheritance","Property deeds","Official letters","Legal notices","These documents are essential to prove your case strong."
"47","Medical negligence lawsuit","Medical reports","Expert witness reports","Affidavits","These documents are essential to prove your case strong."
"48","Bank fraud involving unauthorized transactions","Bank statements","Emails","Police reports","These documents are essential to prove your case strong."
